route,xD,yD,xF,yF,tmja,tmja1,tmja2,tmja3,tmja4,tmja5
N0007,"729715,21","6581290,58","729767,63","6581193,51",8905.0,8819.0,8620.0,0.0,9287.0,9041.0
N0007,"729767,63","6581193,51","729837,59","6581016,36",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"729837,59","6581016,36","730176,01","6580143,12",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"730176,01","6580143,12",730303,"6579925,48",0.0,0.0,0.0,0.0,0.0,0.0
N0007,730303,"6579925,48","730561,42","6579566,45",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"730561,42","6579566,45","730608,77","6579502,29",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"730608,77","6579502,29","730757,18","6579340,27",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"730757,18","6579340,27","731336,26","6579036,01",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"731336,26","6579036,01","732677,97","6578416,74",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"732677,97","6578416,74","732680,49","6578415,03",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"732680,49","6578415,03","732742,94","6578369,63",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"732742,94","6578369,63","735638,03","6575829,66",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"735638,03","6575829,66","736254,76","6575428,68",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"736254,76","6575428,68","738890,43","6573603,73",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"738890,43","6573603,73","739016,91","6573522,75",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"739016,91","6573522,75","739678,71","6573194,2",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"739678,71","6573194,2","742693,42","6572469,05",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"742693,42","6572469,05","742966,39","6572419,77",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"742966,39","6572419,77","747065,1","6572088,79",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"747065,1","6572088,79","747297,32","6572091,64",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"747297,32","6572091,64","747472,35","6572069,7",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"747503,7","6572054,04","747524,73","6572029,28",6135.0,5893.0,5711.0,0.0,5777.0,5569.0
N0007,"747524,73","6572029,28","760611,62","6568996,52",,,,,,
N0007,"760611,62","6568996,52","760973,04",6568705,0.0,0.0,0.0,0.0,0.0,0.0
N0007,"760973,04",6568705,"760980,2","6568695,62",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"760980,2","6568695,62","762235,29","6567925,5",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"762235,29","6567925,5","762864,39","6567504,92",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"762864,39","6567504,92","763879,07","6567267,62",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"763879,07","6567267,62","764491,59","6566677,6",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"764491,59","6566677,6","765596,67","6566298,9",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"765596,67","6566298,9","765795,19","6566231,01",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"765795,19","6566231,01","766582,19","6565773,32",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"766582,19","6565773,32","769419,7","6560745,05",0.0,0.0,0.0,0.0,0.0,0.0
